out,text
1.0,"proven applying machine learning deep learning technique agricultural monitoring using framework pytorch, tensorflow, scikitlearn."
1.0,knowlege machine learning modeling ai prompt engineering.
0.0,"institutional investment operation experience, equivalent demonstrated one combination following: experience, training, military experience, education."
0.0,dtc settlement similar clearing corporation.
0.0,"working knowledge broadridge system including gloss, impact, bps."
0.0,bsba degree finance related field.
0.0,series series .
0.0,strong accounting background knowledge reconciliation.
0.0,security industry.
0.0,effective analytical skills.
0.0,detailoriented effective organizational skills.
0.0,energetic individual well pressure environment demanding deadlines.
0.0,identify area improvement formulate plan effect positive change within environment.
1.0,"collaborate effectively crossdisciplinary across machine learning, computational material chemical sciences, software engineering."
1.0,"executing quantum chemical calculation scale, hpc cloud computing systems, python similar"
1.0,"algorithm development programming language i.e., proficiency matlab, python c"
1.0,"seeking sr. data scientist expertise travel analytics, data engineering, machine learning join dynamic team."
1.0,"proficiency python, sql, pyspark, ml algorithms."
1.0,"strong background api development, data pipelines, machine learning models."
1.0,management machine learning data
1.0,"relevant area expertise might include largeinstallation system administration, programming scripting distributed system python, high performance dataparallel computing, system software, deployment security tools, specific knowledge level area less critical intellectual curiosity, versatility, track record achievement."
1.0,"desres u anton machine highspeed commodity hardware, together machine learning method computational techniques, internal collaborative drug discovery programs."
0.0,"basic life insurance, k company match"
0.0,employee assistance program
0.0,"employee discount vehicle purchases, part service"
0.0,paidtimeoff
0.0,"also offer group supplemental benefit plan including dental coverage, shortterm disability, longterm disability, supplemental life insurance legal services."
0.0,opportunity career advancement.
0.0,please phone call person submittals application must completed submitted online review resume contact fit current need requirement thank interest hendrick automotive group.
0.0,equal opportunity employer drug free workplace.
0.0,job id:
0.0,"leonardo drs naval power system business trusted provider innovative naval gas hybrid power systems, control technology support solution u.s. navy navy around world."
0.0,"naval power system commitment investment people, products, customer foundation are."
0.0,"offer competitive total reward package, generous time off, fun flexible working environment."
0.0,"great benefit include: comprehensive medicaldentalvision programs, schedule allowing every friday , k plan immediate vesting attractive company match, company paid life disability insurance, charitable match program paid volunteer time off, paid parental leave program, employee wellness program, tuition assistance program, employee resource group erg promoting diversity, equity, inclusion, much"
0.0,"leonardo drs menomonee falls, wi seeking highly skilled motivated project manager support management government engineering development program concept delivery."
1.0,"ideal candidate strong background program monitoring, proposal development, cost management, data analysis, effective collaboration diverse teams."
0.0,"role requires proactive individual manage complex projects, meet deadlines, exceed customer expectations."
0.0,individual selected role leverage expertise proposal writing financial oversight closely one largest customer programs.
0.0,"act key support resource manage phase government engineering development programs, initial concept final delivery."
0.0,"develop maintain project schedules, budgets, resource plan ensure successful project execution."
1.0,"looking intern passion research aerospace navigationguidance, autonomous system control, machine learning, deep learning, reinforcement learning, algorithm development, neural networks, computer visionimage processing, sensing perception, localization, sensor fusion, highfidelity dynamic simulation, software hardware development."
1.0,"proficiency computer language c, python, cuda, julia, matlab, like least one following:"
1.0,"class machine learning, deep learning, reinforcement learning, computer vision, etc"
1.0,programming python pyspark.
1.0,"much contributes innovative research field sensor science, signal processing, data fusion, artificial intelligence ai, machine learning ml, augmented reality ar."
1.0,"seeking senior software engineer lead navigate unique challenging problem across broad spectrum technologies, instrument control cutting edge machine learning."
1.0,"ideal candidate strong background open ai, gcp, azure, generative ai, pyspark, python."
1.0,jobot job hosted ana javalera
1.0,"ideal candidate strong background statistical analysis, machine learning, data manipulation."
1.0,build validate predictive model machine learning algorithms.
1.0,strong desire grow career data scientist highly automated industrial manufacturing analysis machine learning terabyte petabyte diverse datasets.
1.0,machine learning advanced analytical method
1.0,fluency python andor r
1.0,"javascript, angularjs ., tableau"
1.0,machine learning
1.0,"certification continuing education different tool technology programming languages, data analysis tools, machine learning, artificial intelligence, related technology"
1.0,"working different programming language c, c, java, along statistical technique random forest, boosting, social network analysis, text mining, generalized linear model"
1.0,"includes statistical computer language r, sql, python, web service like spark redshift, machine learning algorithm like regression, simulation, modelling, decision trees, neural network"
1.0,"designing, implementing automated data solution using snowflake lakehouse building workflows, developing, scheduling etl process using programming sql python."
0.0,"working software engineering best practice across development lifecycle, including agile methodologies, coding standards, code reviews, source management, build process testing ."
1.0,aws informatica snowflake certification preferred.
0.0,data engineering lead:
0.0,phoenix dallas tx
0.0,contract
0.0,u.s. citizen authorized u.s. encouraged apply.
0.0,unable sponsor currently.
1.0,lead azure data ingestion integration activity onshore onoff around people
0.0,help pmscrum master technical effort estimation
1.0,"azure data service including azure data factory, azure synapse analytics, azure data lake storage"
1.0,sql scripting database
1.0,etl etl tool
0.0,good understanding data warehouse design principle
1.0,agile devops working knowledge desired
0.0,"full time, permanent position hybrid level office commitment miami area."
0.0,visa sponsorship transfer existing visa available time.
0.0,client next venture international broadcast space seeking senior data scientist join data product assist continued growth content
0.0,streaming platform.
1.0,"develop manage data tracking system across platform segment, google analytics ga, bigquery"
0.0,configure adjust gtm ga setup accommodate new feature
0.0,execute promote data management strategy line organizational goals.
0.0,management business unit explore innovative data solution drive business success.
1.0,python using common data science library scikitlearn
0.0,"primarily go market bbc, partnering mostly watergaselectric utility municipality offer product leveraging brand marketing often adding subscription fee watergaselectric bill itself."
0.0,"customer need help home maintenance, repair, coverage, oh there."
0.0,"mean oncourse supersuccessful, united, progressive, empathetic, reliable."
0.0,super get done.
0.0,sweat homeownership customer dont to.
0.0,"view every day opportunity step up, step out, remind others together, stay course."
0.0,"proud equal opportunity employer, employment decision based business needs, job requirement individual qualification without regard race, sex, gender identity, sexual orientation, color, pregnancy status, religious creed, national origin, physical mental disability, protected veteran status, characteristic protected federal, state, local law."
0.0,"oncourse home solution committed recruiting talented applicant retaining top talent providing employment free discrimination, retaliation, andor harassment."
0.0,position summary
0.0,"data scientist, youll forefront leveraging data drive impactful decisions."
1.0,"involve cuttingedge technique data science, machine learning, statistical modeling, product analytics."
1.0,"opportunity collaborate industry experts, experienced leader exceptional engineer build distributed scalable machine learning platform leveraging ray.io expand impact every corner business."
1.0,"leveraging machine learning algorithms: youll apply machine learning algorithm e.g., regression, classification, clustering, boosting, neural networks, llm build predictive models."
1.0,"collaboration: closely machine learning engineers, data engineers, analytic engineers, product managersowners, engineers, stakeholder understand business need translate datadriven solutions."
1.0,"model deployment modern data stack: familiar best practice model deployment based requirement collaborating mle deploy model within established infra aws ec, ray.io, pyspark, prefect, mlflow, etc."
0.0,
1.0,endtoend data science machine learning involving cloud platform preferably aws python.
1.0,"focus executing guiding datadriven solution support business objectives, utilizing advanced statistical techniques, machine learning algorithms, generative ai models."
1.0,"develop, test, validate, deploy advanced machine learning models, ensuring meet performance accuracy standards."
1.0,"stay updated latest advancement data science, machine learning, generative ai, gcp technologies."
1.0,"data science machine learning, focus gcp service bigquery, dataflow, dataproc, cloud storage."
1.0,"proficiency programming language python data science library framework scikitlearn, pytorch, keras, tensorflow, etc."
1.0,"strong understanding statistical methods, machine learning algorithms, data modeling techniques."
1.0,"understand system relationship aftermarketmanufacturing related processes, utilizing python data extraction manipulation."
1.0,"evaluate aftermarket sparesservicerepair business processes, anticipating requirements, identifying improvement areas, utilizing python data analysis process optimization."
1.0,"report ongoing business issue relating processessystems, leveraging python datadriven insight reporting."
1.0,"assist senior management providing strategic direction developing, implementing, monitoring goals, objectives, priorities, procedure relating organization, using python datadriven decisionmaking."
1.0,"understand aftermarket sparesservicerepair strategy toward continuous business process improvement based immediate future business needs, utilizing python data analysis process innovation."
1.0,"complete set task within operational excellence group areas, leveraging python data analysis process optimization."
1.0,"assist design report metric used efficiency effectiveness, identifying roadblocks, assessing impact project plans, using python data analysis reporting."
1.0,"business processrelated role, strong background consulting, project management, python data analysis automation."
1.0,"exceptional conceptual thinking skills, global mindset expertise python data analysis process optimization."
1.0,"strong proficiency python data analysis, automation, process optimization, solid proficiency microsoft office, particularly excel."
1.0,"maintain high degree situation awareness, leveraging python data analysis insight generation."
1.0,"development following language python, java, c .net."
0.0,",, usd"
0.0,perk
0.0,"comprehensive medical, dental vision plan dependent"
0.0,"k retirement plan employer match, college saving plan, health saving account, life insurance, longterm disability"
0.0,competitive compensation
0.0,training development program
0.0,stocked kitchen snack beverage
0.0,collaborative cool culture
0.0,worklife balance generous paid time
0.0,recruitment agencies: trace accept unsolicited agency resumescvs.
0.0,"please forward resumescvs career email addresses, trace employee company location."
0.0,trace responsible fee related unsolicited resumescvs.
0.0,title: data scientist
0.0,"location: deerfield beach, fl remote"
0.0,duration: month
0.0,compensation: hr.
0.0,"requirements: u citizen, gc holder authorized u.s."
0.0,skillset experience:
1.0,must python sa
1.0,data science strong data modeling
0.0,pipeline behind scene support model
1.0,"residual value knowledge huge plus alg, black book, kelly blue book, jd edwards, leasing , finance company"
0.0,excellent attitude communication
0.0,benefit package includes: exclude perm placement
0.0,comprehensive medical benefit
0.0,competitive pay
0.0,k retirement plan
0.0,much
0.0,inspyr solution
0.0,technology focus quality commitment.
0.0,"national expert delivering flexible technology talent solutions, strategically align industry technical expertise client business objective cultural needs."
0.0,"solution tailored client include wide variety professional services, project, talent solutions."
0.0,"always striving excellence focusing human aspect business, seamlessly talent client match right solution right opportunities."
0.0,learn u inspyrsolutions.com.
0.0,"inspyr solution provides equal employment opportunity eeo employee applicant employment without regard race, color, religion, sex, national origin, age, disability, genetics."
0.0,"addition federal law requirements, inspyr solution complies applicable state local law governing nondiscrimination employment every location company facilities."
0.0,desired skill
1.0,data scientist
1.0,"power automate, excel, msbi, lean, data analysis, workflows, data integrity, data management"
0.0,"qualified applicant receive consideration employment without regard race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, medical condition, genetic information, pregnancy, military veteran status."
0.0,"consider qualified applicants, including criminal histories, manner consistent state local laws, including california fair chance act, city los angeles fair chance initiative hiring ordinance, los angeles county fair chance ordinance."
0.0,"extent customer require background check certain positions, company face significant risk business operation business reputation unless review criminal history conducted specific job positions."
1.0,"data science, including machine learning statistical analysis."
1.0,"proficiency data analysis tool programming language python, r, julia."
1.0,strong knowledge machine learning algorithm applications.
1.0,"data visualization tool like tableau, power bi, data visualization library python e.g., matplotlib, seaborn."
1.0,"role involves advanced analytics, machine learning, strong problemsolving skill extract actionable information large datasets."
1.0,"predictive modeling: develop deploy machine learning model predict future trends, behaviors, outcomes."
1.0,"data visualization: create compelling data visualization finding effectively technical nontechnical stakeholder using tool like tableau, power bi, python libraries."
1.0,"feature engineering: engineer select relevant feature machine learning models, enhancing predictive power."
1.0,"build finetune machine learning algorithms, decision trees, random forests, neural networks, more, depending specific problem."
1.0,model deployment: deploy machine learning model production environment support realtime decisionmaking.
0.0,job requisition
0.0,reasonable estimate pay range role . . per hour.
0.0,disclosed pay range estimate adjusted applicable geographic differential associated location position may filled.
0.0,"compensation decision dependent fact circumstance case, skill levels."
0.0,meet apc
0.0,apc committed creating diverse environment proud equal opportunity employer.
0.0,"qualified candidate receive consideration without regard race, color, religion, national origin, gender, sexual orientation, gender identity, age, disability, genetics, veteran status."
0.0,job description summary:
0.0,hr data analysis reporting.
0.0,requires minimum workday.
1.0,"various data analysis visualization tool e.g., workday prism, excel, sql, tableau, power bi."
0.0,functional broad hr practice program development allows understand need stakeholder across hr function preferred.
1.0,"compliance pii, gdpr, sox preferred."
0.0,senior data analyst specific:
0.0,hr data analysis reporting.
0.0,develop deliver datadriven insight recommendation inform business decision drive strategic initiatives.
0.0,"serve datadriven strategy partner, advising implementation new workforce analytics, inform business strategy."
0.0,"certifications, licenses, registration"
0.0,workday pro reporting workday pro prism analytics preferred.
0.0,functional skill
1.0,"advanced proficiency excel, including data manipulation, pivot tables, data visualization."
1.0,strong sql skill data extraction manipulation
0.0,business leader datadriven process improvements.
0.0,"high degree customercentric mindset personal accountability, track record delivering results, collaboration strong analytical acumen."
0.0,timemanage multiple assigned project parallel meeting target deadlines.
0.0,"discretion show good judgment honesty, integrity, trustbuilding behavior dealing essential required role."
0.0,"interested, please apply link."
0.0,please reach directly via linkedin unable respond overwhelming number inquiries.
0.0,carlisle weatherproofing technology cwt leading supplier building envelope solution effectively drive energy efficiency sustainability commercial residential applications.
0.0,looking senior data engineer join remotely.
0.0,job summary:
1.0,senior data engineer responsible designing implementing data transformation integration process consolidate data diverse erp system sap ecc jd edward jde single cloudbased environment.
1.0,"additionally, role involves evaluating selecting enterprise data platform edp overseeing implementation."
0.0,expertise etlelt tool crucial position.
1.0,"databricks, azure data factory, snowflake, azure onelake, python sql db desired."
1.0,"senior data engineer, provide expert guidance mentorship data engineer actively participating design development data pipeline lead business intelligence, data science, machine learning use case throughout organization."
1.0,"design, develop, implement etlelt process integrate data sap ecc, jd edwards, erp system cloudbased data platform."
1.0,"utilize alteryx etlelt tool streamline data extraction, transformation, loading processes."
1.0,"transform consolidate mine data using sql, etlelt process python code."
0.0,data quality governance:
1.0,drive pragmatic approach solve complex business problem providing data model suited business intelligence analytics tool powerbi.
1.0,"highspeed internet connection facilitate video calls, crm management project related activities."
0.0,requirement
0.0,education experience:
0.0,required:
1.0,"bachelor degree computer science, data science, information systems, related field."
1.0,"previous working erp platform jd edward sap ecc sap hana, great plain dynamic retrieve consolidate data data warehouse."
1.0,"cloud solution based azure fabric synapse, sql db, snowflake aws redshift."
1.0,"minimum developing azure databricks jupyter notebook environment, commendable knowledge python spark."
0.0,preferred:
0.0,"relevant certification e.g., microsoft certified:"
1.0,"azure data engineer, azure data scientist, snowflake: snowpro data engineer"
1.0,"enterpriselevel etlelt system alteryx, azure data factory informatica highly desired."
0.0,job title: data scientist
0.0,"location: hybrid nashville, tn"
0.0,type: directhire
0.0,job overview:
1.0,"data scientist, youll senior leader data analytics member responsible developing advanced analytical capability including predictive prescriptive analytics, machine learning, nlp, ai, identifying new innovating reporting analytics tools, implementing model tool required elevate competency data analytics client."
1.0,"partner business operational leader provide impact leveraging data analytical tools, strategic thinking, hypothesisbased analysis machine learning mlbased projects."
1.0,research implement cuttingedge technique tool machine learningdeep learningartificial intelligence make data analysis efficient
1.0,"fluency multiple programming language statistical analysis tool python, sql, javascript, r, sas, excel"
1.0,development machine learning model ai framework
0.0,learn apply new technology
1.0,proven conducting statistical analysis building model advanced scripting language
1.0,leading project apply ml data science business function
