out,sentences
1,"Experience in the application of machine learning techniques to large biological datasets, with a particular focus on genetic data, is highly desirable."
1,"Proficiency in the use of at least one computer/database programming such as, but not limited to, JAVA, C++, Python, R, VB, SQL, MS Access, Tableau/PowerBI, etc."
1,"A little about ADP: We are a global leader in human resources technology, offering the latest AI and machine learning-enhanced payroll, tax, human resources, benefits, and much more."
1,"You are the ideal candidate if you are a recognized researcher with strong skills in cybersecurity, computer engineering/science, RF signal processing, machine learning, mathematics, modeling and simulation, and/or physics; you desire an opportunity to pursue external funding from government research agencies (e.g. DARPA, IARPA, DoD Service Labs) to help further U.S. National Security Objectives and betterment of society; you know how to attract, hire and develop top-notch talent to round out your team."
1,5. 5 years of experience in machine learning algorithms.
1,Strong aptitude for problem solving and working with large data sets and implementing machine learning models.
0,SKILLS AND ABILITIES:
0,Essential Skills:
0,Experience developing and maintaining models of complex electrical and mechanical systems
1,Familiarity in SysML modeling software or model-based engineering concepts
1,Familiarity with MATLAB and Simulink
0,Results-oriented and motivated to provide solutions with measurable benefit to our customers
0,Ability to communicate complex analysis with clarity and precision
1,Proficiency in Microsoft Office applications
0,Strong written and verbal communication skills
0,"Shipboard or industrial experience with machinery system installation, operational testing, troubleshooting, and repair is preferred"
1,Knowledge of Agile Project Management
0,"Experience with the system engineering life cycle, including requirements, design, development, integration, testing, and deployment"
0,Desired Skills / Certifications:
1,OMG SysML Model Builder Fundamental certification is a plus.
0,Model Builder Intermediate preferred.
1,Advanced degree or certificate in System Engineering -OR- INCOSE ASEP or higher is a plus.
0,"US Navy HM&E experience US Navy HM&E experience or industry experience in power generation, power distribution, control systems, ventilation systems, damage control, firefighting, auxiliary machinery, propulsion systems, navigational, steering, fluid storage & transfer systems such as for lube/fuel/oil/water, and combat system is a plus"
0,Travel:
0,"This position may require occasional travel, estimated to be 5-10%."
0,"Philadelphia, PA"
0,Clearance Level:
0,Secret
0,Type:
0,Equal Opportunity Policy:
0,"TDI Technologies, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment."
0,"This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layout, recall, transfer, leaves of absence, compensation and training."
0,Want to see more?
0,Find all job opportunities for both BioFire and bioMérieux worldwide by clicking here.
1,DSEs efficiently utilize data mining techniques e.g. ELT/ETL to develop the reporting/visualization solution.
1,"The DSE understands ERP, CRM, and other business applications and their relationship."
1,"Experience with one of the following programming/analytical languages: R, Python, C#, Java, JavaScript, DBT, and D3.JS."
0,"Pratt Industries is America's 5th largest paper and packaging company with more than 9,000 highly skilled green collar employees dedicated to the environment and sustainability."
0,"Pratt Industries is one of the largest corrugated packaging companies in America, with sophisticated manufacturing facilities in more than twenty states."
0,"The company operates several of the most modern, cost effective paper mills in the country, as well as a series of sheet and box plants strategically placed throughout the United States offering a wide range of creative packaging solutions."
0,Pratt Industries is committed to recycling and the environment by harvesting the urban forest.
0,"Pratt Industries offers competitive compensation plans with incentive opportunities, full benefits package including medical, dental, vision, life, disability, All State, Pre-Paid Legal, and 401(k) with company match, paid vacation, paid holidays, and childbearing and parental leave."
1,We are seeking a highly skilled and motivated AI/Automation Engineer/Systems Integrator to join our innovative team.
1,The ideal candidate will have a strong background in integrating advanced AI
0,"technologies into manufacturing processes, with a focus on enhancing efficiency, productivity, and"
0,quality.
1,"This role requires a hands-on professional with a deep understanding of AI, machine learning, automation systems, and systems integration."
1,Algorithm Development: Create and deploy machine learning algorithms and models to
1,"Experience: Proven experience in AI, machine learning, and automation within a"
1,"Technical Skills: Proficiency in programming languages such as Python, R, and C++."
1,"Industry Certifications: Relevant certifications in AI, machine learning, or automation"
1,"Proven experience in data analysis, statistical modeling, and machine learning."
1,"Proficiency in programming languages such as Python, R, or SQL."
0,Required Experience
1,"8+ years of experience in IT/Information Security Governance in large, global organizations (e.g., consulting, audit, industry/operations)"
1,"Experience in processes monitoring, defining and follow up of KPIs, basic data analysis"
1,"Experience in reporting, knowledge of ServiceNow reporting capability is a plus"
1,"Experience in working with data protection related regulations, e.g., GDPR, GLBA, eIDAS is a plus"
1,"Security Governance/Risk Management certification (CISSP, CGEIT, CISM, CRISC ..) is a plus"
1,"Knowledge of relevant security/governance frameworks (NIST CSF, ISO27001, …) is a plus"
0,Tools & Methodologies
1,MS Tools
1,ServiceNow IRM
0,Agile Methodology
0,Risk Management
0,Apply now
0,"Location Krakow, Lesser Poland, Poland;"
0,"Bengaluru, Karnataka, India;"
0,"Raleigh, North Carolina, United States of America;"
0,"Vaesteras, Vastmanland County, Sweden;"
0,"Remote - Karnataka, India;"
0,"Remote - North Carolina, United States of America Job type Full time Experience Experienced Job function IT, Telecom & Internet Contract Regular Publication date 2024-09-16 Reference number R0054767"
0,ADP Is Hiring a Lead Data Scientist
0,"Are you a mid-level Data Scientist who has not only sharp technical skill, but also a deep curiosity and passion for creating insights from data that can drive real business change?"
0,Do you enjoy collaboration and the opportunity to prove your skills?
0,Do you enjoy a challenge which demands you flex creative and logical problem-solving skills?
0,"Well, this may be the role for you."
0,Ready to design what's next?
0,"In this role, you will take ownership of data science initiatives, utilizing diverse methodologies to analyze data from multiple sources, and deliver strategic recommendations to our business partners."
0,Your impact will grow as you bring these solutions to life across multiple businesses.
1,"Additionally, you will support a range of analytics projects leveraging your skills in NLP, GenAI, statistical modeling, ML, Python, SQL, and Tableau."
1,Develop and deploy machine learning models to improve business processes and outcomes.
1,"Stay current with industry trends, emerging technologies, and best practices in data science and machine learning."
1,"A little about ADP: We are a global leader in HR technology, offering the latest AI and machine learning-enhanced payroll, tax, HR, benefits, and much more."
1,"Advanced Analytics and Modeling: Apply various analytical methods, including statistical and machine learning models (Python, R), to identify key drivers of client experience and deliver actionable recommendations to enhance business outcomes."
1,"Strong programming skills in Python, R,or similar languages."
1,"Experience with machine learning frameworks (e.g., TensorFlow, Scikit-learn, PyTorch)."
1,"Proven experience in crafting, testing and deploying ML /GenAIprojects in Python with keen focus on eliciting optimal outputs."
0,Job Title:
0,Remote Sensing Scientist
0,Job Location:
0,"Seattle, WA; St. Louis, MO; Remote"
0,HabiTerre is an advanced science and technology company dedicated to delivering actionable insights and digital infrastructure to support and sustain the future of food and agriculture.
0,"We envision a world where a resilient food system, environmental stewardship, and on-farm profitability are harmonized to ensure the sustainability of every farm field on our planet."
1,"4+ Years hands-on experience in Python development, scientific data visualization and analysis."
1,"Proven experience in applying machine learning and deep learning techniques to agricultural monitoring using frameworks such as PyTorch, TensorFlow, and Scikit-Learn."
1,Knowlege of Machine Learning modeling and AI prompt engineering.
0,"2+ years of Institutional Investment Operations experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education."
0,Experience with DTC settlements or a similar clearing corporation.
0,"Working knowledge of Broadridge systems including GLOSS, Impact, and BPS."
0,BS/BA degree in Finance or related field.
0,Series 7 or Series 99.
0,Strong accounting background with knowledge of reconciliation.
0,2+ years of experience in the securities industry.
0,Ability to demonstrate effective analytical skills.
0,Detail-oriented with effective organizational skills.
0,Energetic individual that works well under pressure in a team environment with demanding deadlines.
0,Ability to identify areas of improvement and formulate plans to effect positive change within a team environment.
1,"Collaborate effectively with cross-disciplinary teams across machine learning, computational materials and chemical sciences, and software engineering."
1,"Experience executing quantum chemical calculations at scale, with HPC or cloud computing systems, and with Python or similar | 5+ years of experience"
1,"• Algorithm development experience in any programming language (i.e., proficiency with MATLAB, Python or C++)"
1,"We are seeking a Sr. Data Scientist with expertise in travel analytics, data engineering, and machine learning to join our dynamic team."
1,"Proficiency in Python, SQL, PySpark, and ML algorithms."
1,"Strong background in API development, data pipelines, and machine learning models."
1,Management of machine learning data
1,"Relevant areas of expertise might include large-installation systems administration, programming and scripting of distributed systems in Python, high performance data-parallel computing, systems software, and deployment of security tools, but specific knowledge of and level of experience in any of these areas is less critical than intellectual curiosity, versatility, and a track record of achievement."
1,"DESRES uses Anton machines and high-speed commodity hardware, together with machine learning methods and other computational techniques, in both internal and collaborative drug discovery programs."
0,"Basic life insurance, 401(k) with company match"
0,Employee Assistance Program
0,"Employee discounts on vehicle purchases, parts and service"
0,Paid-time-off
0,"We also offer a group of supplemental benefit plans including dental coverage, short-term disability, long-term disability, supplemental life insurance and legal services."
0,Opportunities for career advancement.
0,**Please no phone calls or in person submittals - All applications must be completed and submitted online - We will review your resume and be in contact with you should it fit our current needs and requirements - Thank you for your interest in Hendrick Automotive Group.
0,We Are an Equal Opportunity Employer and a Drug Free Workplace.
0,Job ID: 110094
0,"The Leonardo DRS Naval Power Systems business is a trusted provider of innovative naval gas and hybrid power systems, control technology and support solutions for the U.S. Navy and navies around the world."
0,"Naval Power Systems’ commitment to and investment in our people, products, and customers is the foundation of who we are."
0,"We offer a competitive Total Rewards package, generous time off, and a fun and flexible working environment."
0,"Some of our great benefits include: comprehensive medical/dental/vision programs, a 9/80 work schedule allowing for every other Friday off (!), a 401(k) plan with immediate vesting and an attractive company match, company paid Life & Disability Insurance, a Charitable Match Program & Paid Volunteer Time Off, a Paid Parental Leave program, an Employee Wellness Program, a Tuition Assistance Program, Employee Resource Groups (ERGs) promoting Diversity, Equity, & Inclusion, and so much more!"
0,"Leonardo DRS in Menomonee Falls, WI is seeking a highly skilled and motivated Project Manager to support the management of government engineering development programs from concept through delivery."
1,"The ideal candidate will have a strong background in program monitoring, proposal development, cost management, data analysis, and effective collaboration with diverse teams."
0,"This role requires a proactive individual who can manage complex projects, meet deadlines, and exceed customer expectations."
0,The individual selected for this role will leverage their expertise in proposal writing and financial oversight as they work closely with one of our largest customers and programs.
0,How You Will Do It
0,"Act as a key support resource to manage all phases of government engineering development programs, from initial concept to final delivery."
0,"Develop and maintain project schedules, budgets, and resource plans to ensure successful project execution."
1,"We Are Looking For Interns With a Passion For Research In Aerospace Navigation/guidance, Autonomous Systems And Control, Machine Learning, Deep Learning, Reinforcement Learning, Algorithm Development, Neural Networks, Computer Vision/image Processing, Sensing And Perception, Localization, Sensor Fusion, High-fidelity Dynamic Simulation, Software And Hardware Development."
1,"Proficiency in a computer language such as C++, Python, CUDA, Julia, Matlab, or the like; and at least one of the following:"
1,"Classes in machine learning, deep learning, reinforcement learning, computer vision, etc"
1,3+ years of experience programming in Python and PySpark.
1,"Much of our work contributes to innovative research in the fields of sensor science, signal processing, data fusion, artificial intelligence (AI), machine learning (ML), and augmented reality (AR)."
1,"We are seeking a Senior Software Engineer to lead and navigate unique and challenging problems across a broad spectrum of technologies, from instrument control to the cutting edge of machine learning."
1,"The ideal candidate will have a strong background in Open AI, GCP, Azure, Generative AI, PySpark, and Python."
1,This Jobot Job is hosted by Ana Javalera
1,"The ideal candidate will have a strong background in statistical analysis, machine learning, and data manipulation."
1,Build and validate predictive models and machine learning algorithms.
1,Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
1,Machine learning and other advanced analytical methods
1,Fluency in Python and/or R
1,"Javascript, AngularJS 2.0, Tableau"
1,Machine learning
1,"Has certifications or continuing education in different tools and technologies such as programming languages, data analysis tools, machine learning, artificial intelligence, or other related technologies"
1,"Has experience working with different programming languages such as C, C++, and Java, along with experience in statistical techniques such as Random Forest, Boosting, social network analysis, text mining, and generalized linear models"
1,"Other experience includes statistical computer languages such as R, SQL, and Python, web services like Spark and Redshift, and machine learning algorithms like regression, simulation, modelling, decision trees, and neural network"
1,"5 years of experience designing, implementing automated data solutions using Snowflake lakehouse; building workflows, developing, and scheduling ETL processes using programming SQL or Python."
0,"4 years of experience working with software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes and testing ."
1,AWS or Informatica or Snowflake certification is preferred.
0,Data Engineering Lead:
0,Phoenix /Dallas TX
0,Contract
0,U.S. Citizens and those authorized to work in the U.S. are encouraged to apply.
0,We are unable to sponsor currently.
1,Lead the Azure Data Ingestion and Integration activities from onshore for the on-off team of around 8 people
0,Help PM/Scrum Master with technical effort estimations
1,"3+ year’s experience with Azure data services including Azure Data Factory, Azure Synapse Analytics, Azure Data Lake Storage"
1,6+ years of SQL scripting and database experience
1,5+ years of ETL experience with any ETL tool
0,Good understanding of data warehouse design principles
1,Agile DevOps working knowledge desired
0,"This a full time, permanent position with a hybrid level office commitment in the Miami area."
0,Work Visa sponsorship or transfer of existing visas is not available at this time.
0,A client of Next Ventures in the international broadcast space is seeking a Senior Data Scientist to join their Data Products Team to assist in the continued growth of their content
0,streaming platform.
1,"Develop and manage data tracking systems across platforms such as Segment, Google Analytics (GA4), and BigQuery"
0,Configure and adjust GTM and GA360 setups to accommodate new features
0,Execute and promote data management strategies in line with organizational goals.
0,Work with management and business units to explore innovative data solutions that drive business success.
1,5+ years of experience in Python using common data science libraries such as scikit-learn and
0,"We primarily go to market B2B2C, partnering mostly with water/gas/electric utilities and municipalities to offer our product leveraging their brand for marketing and often adding our subscription fee to the water/gas/electric bill itself."
0,"When our customers need help with home maintenance, repair, or coverage, OHS is there."
0,"This is what it means to be an ‘Oncourse SUPER’—Successful, United, Progressive, Empathetic, Reliable."
0,SUPERs get it done.
0,We sweat homeownership so our customers don’t have to.
0,"We view every day as an opportunity to step up, step out, and remind others that we are in this together, to stay on course."
0,"We are a proud equal opportunity employer, and our employment decisions are based on business needs, job requirements and individual qualifications without regard to of race, sex, gender identity, sexual orientation, color, pregnancy status, religious creed, national origin, physical or mental disability, protected Veteran status, or any other characteristic protected by federal, state, or local law."
0,"Oncourse Home Solutions is committed to recruiting talented applicants and retaining top talent while providing an employment experience that is free from discrimination, retaliation, and/or harassment."
0,Position Summary
0,"As a Data Scientist, you’ll be at the forefront of leveraging data to drive impactful decisions."
1,"Your work will involve cutting-edge techniques in data science, machine learning, statistical modeling, and product analytics."
1,"You will have the opportunity to collaborate with industry experts, experienced leaders and exceptional engineers to build the distributed and scalable machine learning platform leveraging Ray.io and expand the impact to every corner of the business."
1,"Leveraging Machine Learning Algorithms: You’ll apply machine learning algorithms (e.g., regression, classification, clustering, boosting, neural networks, LLMs) to build predictive models."
1,"Collaboration: Work closely with Machine Learning Engineers, Data Engineers, Analytic Engineers, Product Managers/Owners, Engineers, and other stakeholders to understand business needs and translate them into data-driven solutions."
1,"Experience with model deployment with modern data stack: Familiar with best practices on model deployment based on requirements and collaborating with MLE to deploy model within established infra (AWS EC2, Ray.io, PySpark, Prefect, MLFlow, etc)."
0,Experience
1,3+ years of end-to-end data science machine learning experience involving a cloud platform (preferably in AWS and in Python).
1,"You will focus on executing and guiding data-driven solutions that support business objectives, utilizing advanced statistical techniques, machine learning algorithms, and generative AI models."
1,"Develop, test, validate, and deploy advanced machine learning models, ensuring they meet performance and accuracy standards."
1,"Stay updated with the latest advancements in data science, machine learning, generative AI, and GCP technologies."
1,"8+ years of experience in data science and machine learning, with a focus on GCP services such as BigQuery, Dataflow, Dataproc, and Cloud Storage."
1,"Proficiency in programming languages such as Python and experience with data science libraries and frameworks such as scikit-learn, Pytorch, Keras, Tensorflow, etc."
1,"Strong understanding of statistical methods, machine learning algorithms, and data modeling techniques."
1,"Understand system relationships for the Aftermarket/Manufacturing and related processes, utilizing Python for data extraction and manipulation."
1,"Evaluate Aftermarket (Spares/Service/Repair) business processes, anticipating requirements, identifying improvement areas, and utilizing Python for data analysis and process optimization."
1,"Report ongoing business issues relating to processes/systems, leveraging Python for data-driven insights and reporting."
1,"Assist senior management in providing strategic direction and developing, implementing, and monitoring goals, objectives, priorities, and procedures relating to the organization, using Python for data-driven decision-making."
1,"Understand the Aftermarket (Spares/Service/Repair) strategy and work toward continuous business process improvements based on immediate and future business needs, utilizing Python for data analysis and process innovation."
1,"Complete set tasks within the Operational Excellence group's work areas, leveraging Python for data analysis and process optimization."
1,"Assist with design and reports with metrics used to demonstrate efficiency and effectiveness, identifying roadblocks, and assessing the impact on project plans, using Python for data analysis and reporting."
1,"6+ years of experience in a business process-related role, with a strong background in consulting, project management, and Python for data analysis and automation."
1,"Exceptional conceptual thinking skills, with a global mindset and expertise in Python for data analysis and process optimization."
1,"Strong proficiency in Python for data analysis, automation, and process optimization, with solid proficiency in Microsoft Office, particularly Excel."
1,"Maintain a high degree of situation awareness, leveraging Python for data analysis and insight generation."
1,"5+ years of development experience with the following languages Python, Java, C#/ .NET."
0,"$142,500—$168,700 USD"
0,The Perks
0,"Comprehensive medical, dental and vision plans for you and your dependents"
0,"401(k) Retirement Plan with Employer Match, 529 College Savings Plan, Health Savings Account, Life Insurance, and Long-Term Disability"
0,Competitive Compensation
0,Training and development programs
0,Stocked kitchen with snacks and beverages
0,Collaborative and cool culture
0,Work-life balance and generous paid time off
0,To all recruitment agencies: Trace3 does not accept unsolicited agency resumes/CVs.
0,"Please do not forward resumes/CVs to our careers email addresses, Trace3 employees or any other company location."
0,Trace3 is not responsible for any fees related to unsolicited resumes/CVs.
0,Title: Data Scientist
0,"Location: Deerfield Beach, FL or remote"
0,Duration: 6 months to 3 years
0,Compensation: 80-120hr.
0,"Work Requirements: US Citizen, GC Holders or Authorized to Work in the U.S."
0,Skillset / Experience:
1,Must have Python and SAS experience
1,Data science with strong data modeling
0,Experience with pipelines behind scenes that support the models
1,"Residual value knowledge is a huge plus (ALG, black book, Kelly Blue Book, JD Edwards, leasing , finance company)"
0,Excellent can do attitude and communication
0,Our benefits package includes: (EXCLUDE on perm placements)
0,Comprehensive medical benefits
0,Competitive pay
0,401(k) retirement plan
0,…and much more!
0,About INSPYR Solutions
0,Technology is our focus and quality is our commitment.
0,"As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients’ business objectives and cultural needs."
0,"Our solutions are tailored to each client and include a wide variety of professional services, project, and talent solutions."
0,"By always striving for excellence and focusing on the human aspect of our business, we work seamlessly with our talent and clients to match the right solutions to the right opportunities."
0,Learn more about us at inspyrsolutions.com.
0,"INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics."
0,"In addition to federal law requirements, INSPYR Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities."
0,Desired Skills and Experience
1,DATA SCIENTIST
1,"Power Automate, Excel, MSBI, Lean, Data Analysis, Workflows, Data Integrity, Data Management"
0,"All qualified applicants will receive consideration for employment without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, medical condition, genetic information, pregnancy, or military or veteran status."
0,"We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the California Fair Chance Act, City of Los Angeles' Fair Chance Initiative for Hiring Ordinance, and Los Angeles County Fair Chance Ordinance."
0,"To the extent our customers require a background check for certain positions, the Company faces a significant risk to its business operations and business reputation unless a review of criminal history is conducted for those specific job positions."
1,"5 to 10 years of experience in data science, including machine learning and statistical analysis."
1,"Proficiency in data analysis tools and programming languages such as Python, R, or Julia."
1,Strong knowledge of machine learning algorithms and their applications.
1,"Experience with data visualization tools like Tableau, Power BI, or data visualization libraries in Python (e.g., Matplotlib, Seaborn)."
1,"This role involves advanced analytics, machine learning, and strong problem-solving skills to extract actionable information from large datasets."
1,"Predictive Modeling: Develop and deploy machine learning models to predict future trends, behaviors, and outcomes."
1,"Data Visualization: Create compelling data visualizations to communicate findings effectively to both technical and non-technical stakeholders using tools like Tableau, Power BI, or Python libraries."
1,"Feature Engineering: Engineer and select relevant features for machine learning models, enhancing their predictive power."
1,"Build and fine-tune machine learning algorithms, such as decision trees, random forests, neural networks, and more, depending on the specific problem."
1,Model Deployment: Deploy machine learning models in production environments to support real-time decision-making.
0,Job Requisition #38903
0,A reasonable estimate of the pay range for this role is $52.00 - $57.00 per hour.
0,The disclosed pay range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled.
0,"The compensation decisions are dependent on the facts and circumstances of each case, such as skills and experience levels."
0,Meet APC
0,APC is committed to creating a diverse work environment and is proud to be an Equal Opportunity Employer.
0,"All qualified candidates will receive consideration without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, disability, genetics, or veteran status."
0,Job Description Summary:
0,2+ years of experience in HR data analysis and reporting.
0,Requires a minimum 2 years of experience with Workday.
1,"Experience with various data analysis and visualization tools (e.g., Workday Prism, Excel, SQL, Tableau, Power BI)."
0,Functional experience with broad HR practices and program development that allows you to understand the needs of stakeholders across the HR functions (preferred).
1,"Compliance experience in PII, GDPR, SOX (preferred)."
0,Senior Data Analyst Specific:
0,5+ years of experience in HR data analysis and reporting.
0,Develop and deliver data-driven insights and recommendations to inform business decisions and drive strategic initiatives.
0,"Serve as a data-driven strategy partner, advising on implementation of new workforce analytics, that inform business strategy."
0,"CERTIFICATIONS, LICENSES, REGISTRATIONS"
0,Workday Pro Reporting or Workday Pro Prism Analytics (preferred).
0,FUNCTIONAL SKILLS
1,"Advanced proficiency in Excel, including data manipulation, pivot tables, and data visualization."
1,Strong SQL skills for data extraction and manipulation
0,Ability to empower business leaders to data-driven process improvements.
0,"High degree of customer-centric mindset and personal accountability, with a track record for delivering results, team collaboration and strong analytical acumen."
0,Ability to work on and time-manage multiple assigned projects in parallel while meeting target deadlines.
0,"Ability to exercise discretion and show good judgment; honesty, integrity, and trust-building behaviors in all dealings is essential and required in this role."
0,"If you are interested, please apply through the link."
0,Please do not reach out to me directly via LinkedIn as I am unable to respond to the overwhelming number of inquiries.
0,Carlisle Weatherproofing Technologies (CWT) is a leading supplier of building envelope solutions that effectively drive energy efficiency and sustainability in commercial and residential applications.
0,We are looking for a Senior Data Engineer to join our team remotely.
0,Job Summary:
1,The Senior Data Engineer will be responsible for designing and implementing data transformation and integration processes to consolidate data from diverse ERP systems such as SAP ECC and JD Edwards (JDE) into a single cloud-based environment.
1,"Additionally, the role involves evaluating and selecting an Enterprise Data Platform (EDP) and overseeing its implementation."
0,Expertise in ETL/ELT tools is crucial for this position.
1,"Experience in Databricks, Azure Data Factory, Snowflake, Azure OneLake, Python and SQL DB is desired."
1,"As a Senior Data Engineer, you will provide expert guidance and mentorship to other Data Engineers on the team while actively participating in design and development of data pipelines that lead Business Intelligence, Data Science, and Machine Learning use cases throughout the organization."
1,"Design, develop, and implement ETL/ELT processes to integrate data from SAP ECC, JD Edwards, and other ERP systems into a cloud-based data platform."
1,"Utilize Alteryx and other ETL/ELT tools to streamline data extraction, transformation, and loading processes."
1,"Transform / consolidate / mine data using SQL, ETL/ELT processes and through Python code."
0,Data Quality and Governance:
1,Drive pragmatic approaches to solve complex business problems through providing data models suited for business intelligence / analytics tools such as PowerBI.
1,"Ability to high-speed internet connection to facilitate video calls, CRM management and other project related activities."
0,Requirements
0,Education and Experience:
0,Required:
1,"Bachelor’s degree in computer science, Data Science, Information Systems, or a related field."
1,"Previous experience of 3-5 years working with ERP platforms such as JD Edwards / SAP ECC / SAP HANA, MS Great Plains / Dynamics to retrieve and consolidate data in the Data Warehouse."
1,"Experience with cloud solutions based on Azure Fabric / Synapse, SQL DB, Snowflake or AWS Redshift."
1,"Minimum of 3 years of experience developing in Azure Databricks or Jupyter Notebooks environment, commendable knowledge of Python and Spark."
0,Preferred:
0,"Relevant certifications (e.g., Microsoft Certified:"
1,"Azure Data Engineer, Azure Data Scientist, Snowflake: SnowPro Data Engineer)"
1,"5-8 years of experience with enterprise-level ETL/ELT systems - Alteryx, Azure Data Factory or Informatica is highly desired."
0,Job Title: Data Scientist
0,"Location: Hybrid in Nashville, TN"
0,Type: Direct-Hire
0,Job Overview:
1,"As a Data Scientist, you'll work under the senior leader of Data and Analytics as a member of IT responsible for developing advanced analytical capabilities including predictive and prescriptive analytics, machine learning, NLP, AI, identifying new and innovating reporting and analytics tools, and implementing the models and tools required to elevate the competency of data and analytics for our client."
1,"You will partner with business and operational leaders to provide an impact by leveraging data and analytical tools, strategic thinking, and hypothesis-based analysis on machine learning (ML)-based projects."
1,Researches and implements cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence to make data analysis more efficient
1,"Fluency in multiple programming languages and statistical analysis tools such as Python, SQL, JavaScript, R, SAS, Excel"
1,Experience in the development of Machine Learning models and AI frameworks
0,Ability to learn and apply new technologies
1,Proven experience in conducting statistical analysis and building models with advanced scripting languages
1,Experience leading projects that apply ML and data science to business functions
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
